year,total,postive,negative
1986,0.0013161290322580646,0.000832258064516129,0.00036129032258064514
1987,0.0008903225806451613,0.0004967741935483871,0.00022580645161290321
1988,0.0007354838709677419,0.00045806451612903225,0.0002129032258064516
1989,0.0009612903225806452,0.00044516129032258066,0.0003161290322580645
1990,0.000767741935483871,0.0004,0.00021935483870967742
1991,0.0008838709677419354,0.000567741935483871,0.0002064516129032258
1992,0.0009870967741935483,0.0005935483870967742,0.00027096774193548386
1993,0.0007290322580645162,0.00038064516129032255,0.00023870967741935483
1994,0.0008258064516129032,0.0005032258064516129,0.00022580645161290321
1995,0.0006258064516129032,0.00045161290322580643,0.0001032258064516129
1996,0.0007096774193548388,0.0005032258064516129,0.00010967741935483871
1997,0.0004967741935483871,0.0002967741935483871,9.67741935483871e-05
1998,0.0004967741935483871,0.0003032258064516129,9.032258064516129e-05
1999,0.0005612903225806451,0.0002967741935483871,9.032258064516129e-05
2000,0.000967741935483871,0.00041935483870967743,0.00026451612903225804
2001,0.0009161290322580645,0.0005612903225806451,0.00013548387096774193
2002,0.0006451612903225806,0.00034193548387096773,0.00013548387096774193
2003,0.0006774193548387097,0.0003096774193548387,0.00013548387096774193
2004,0.0008064516129032258,0.0005225806451612903,0.00014838709677419355
2005,0.0008709677419354839,0.0004838709677419355,0.00026451612903225804
2006,0.0009161290322580645,0.0006064516129032258,0.00016129032258064516
2007,0.0006645161290322581,0.0004129032258064516,0.00015483870967741934
2008,0.0008064516129032258,0.00044516129032258066,0.00017419354838709678
2009,0.0005225806451612903,0.0003161290322580645,0.00012903225806451613
2010,0.0009290322580645161,0.0004967741935483871,0.00014193548387096775
2011,0.0008387096774193549,0.0004129032258064516,0.00016774193548387096
2012,0.0010903225806451612,0.0005870967741935484,0.00026451612903225804
2013,0.0011935483870967741,0.0006645161290322581,0.00023870967741935483
2014,0.0013741935483870967,0.0008580645161290323,0.0002838709677419355
2015,0.001767741935483871,0.001070967741935484,0.00032903225806451614
2016,0.0022387096774193547,0.001296774193548387,0.0004967741935483871
